ID,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,SALARY
19616,SF,79,5,1605,186,442,0.421,54,188,0.287,132,254,0.52,0.482,75,99,0.758,61,200,261,47,58,17,50,195,501,2668831.2
19636,SG,67,3,1183,185,495,0.374,138,355,0.389,47,140,0.336,0.513,43,54,0.796,22,78,100,46,20,4,45,90,551,4432810.2
19639,PF,76,76,2374,406,889,0.457,71,196,0.362,335,693,0.483,0.497,180,215,0.837,107,386,493,126,82,42,129,254,1063,9842000
19641,PG,78,78,2836,647,1435,0.451,89,272,0.327,558,1163,0.48,0.482,422,527,0.801,59,267,326,831,157,49,322,151,1805,22554007
19643,PF,70,15,1679,258,625,0.413,129,377,0.342,129,248,0.52,0.516,99,128,0.773,61,323,384,75,53,55,80,128,744,7690658.5
19692,PF,73,5,1786,433,964,0.449,21,94,0.223,412,870,0.474,0.46,141,193,0.731,182,416,598,122,38,10,99,136,1028,13780721.85
19715,SF,34,34,675,75,222,0.338,25,93,0.269,50,129,0.388,0.394,35,43,0.814,6,78,84,55,20,5,24,52,210,29415277.5
19752,PF,69,11,1534,220,558,0.394,53,193,0.275,167,365,0.458,0.442,145,168,0.863,39,175,214,81,37,13,75,103,638,19950000
19760,C,82,2,1286,244,548,0.445,103,277,0.372,141,271,0.52,0.539,120,137,0.876,88,285,373,65,23,41,69,229,711,1866802.63
19818,C,72,72,2465,647,1432,0.452,131,363,0.361,516,1069,0.483,0.498,517,670,0.772,152,642,794,332,100,93,269,278,1942,22554007
19829,SG,47,47,1749,326,710,0.459,120,310,0.387,206,400,0.515,0.544,117,140,0.836,19,141,160,139,41,10,85,104,889,2980370.4
