ID,Pos,Games ,MIN,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,OREB,DREB,TotalREB,AST,STL,BLK,TOV,PF,PPG,ASTPG,REBPG,STLPG,BLKPG,PFPG,MINPG,eFG,PER,TS%,USG%,OBPM,DBPM,VORP,Salary
10740,SG,82,2451,368,770,0.478,112,290,0.386,256,480,0.533,278,335,0.83,92,311,403,122,137,40,112,248,1660,1.487804878,4.914634146,1.670731707,0.487804878,3.024390244,29.8902439,0.550649351,18.8,0.614,18.9,2.3,1.4,3.5,8409354
10767,C,59,664,68,175,0.389,0,0,NA,68,175,0.389,58,90,0.644,69,105,174,13,21,12,34,87,194,0.220338983,2.949152542,0.355932203,0.203389831,1.474576271,11.25423729,0.388571429,10.8,0.452,16.9,-3.3,-2.5,-0.6,627547
10804,SF,36,261,15,48,0.313,1,8,0.125,14,40,0.35,13,18,0.722,18,35,53,14,9,3,12,37,65,0.388888889,1.472222222,0.25,0.083333333,1.027777778,7.25,0.322916667,6.5,0.393,12.2,-4.9,2.2,0,1092307
10805,PG,67,1457,166,451,0.368,52,163,0.319,114,288,0.396,76,89,0.854,20,109,129,273,56,5,98,137,793,4.074626866,1.925373134,0.835820896,0.074626866,2.044776119,21.74626866,0.425720621,12.4,0.469,18.5,-0.9,-0.7,0.2,9994339
10814,PF,79,2441,421,909,0.463,21,77,0.273,400,832,0.481,185,252,0.734,163,345,508,131,80,22,163,250,1216,1.658227848,6.430379747,1.012658228,0.278481013,3.164556962,30.89873418,0.47469747,14.9,0.514,22.9,-0.9,0.2,0.8,9735662
10830,PF,28,610,107,243,0.44,5,17,0.294,102,226,0.451,60,80,0.75,48,125,173,20,12,17,34,58,315,0.714285714,6.178571429,0.428571429,0.607142857,2.071428571,21.78571429,0.450617284,16.8,0.501,23.6,-0.6,-1,0.1,2577295
10877,SF,26,774,128,321,0.399,23,65,0.354,105,256,0.41,83,103,0.806,16,78,94,103,24,3,88,49,488,3.961538462,3.615384615,0.923076923,0.115384615,1.884615385,29.76923077,0.434579439,13.2,0.494,26,-1.2,-2.5,-0.3,11811492
10901,PF,62,766,103,209,0.493,1,3,0.333,102,206,0.495,44,76,0.579,64,123,187,20,17,29,38,123,257,0.322580645,3.016129032,0.274193548,0.467741935,1.983870968,12.35483871,0.495215311,,,,,,,1088887
10927,SG,2,18,1,6,0.167,1,3,0.333,0,3,0,0,0,NA,0,1,1,1,1,0,3,1,9,0.5,0.5,0.5,0,0.5,9,0.25,-7.2,0.25,23.5,-11.8,-3.2,-0.1,1282695
10930,SG,50,1185,263,592,0.444,81,219,0.37,182,373,0.488,82,109,0.752,55,119,174,105,49,8,63,106,1103,2.1,3.48,0.98,0.16,2.12,23.7,0.512668919,19.2,0.538,26.8,3.1,-1,1.2,5002514
10932,C,80,2570,266,660,0.403,0,0,NA,266,660,0.403,176,230,0.765,207,464,671,137,37,65,114,206,708,1.7125,8.3875,0.4625,0.8125,2.575,32.125,0.403030303,11.8,0.465,15.5,-2.1,-0.3,-0.3,22105127
10960,SF,72,985,215,468,0.459,33,87,0.379,182,381,0.478,78,104,0.75,44,121,165,60,32,20,78,105,703,0.833333333,2.291666667,0.444444444,0.277777778,1.458333333,13.68055556,0.49465812,16.4,0.527,26.4,0.6,-0.9,0.4,3330904
10995,SG,16,70,7,16,0.438,1,3,0.333,6,13,0.462,4,6,0.667,1,5,6,2,1,0,6,8,25,0.125,0.375,0.0625,0,0.5,4.375,0.46875,3.8,0.51,16.5,-6.6,-1.5,-0.1,596935
11026,PG,76,2706,318,823,0.386,144,369,0.39,174,454,0.383,135,168,0.804,42,217,259,517,101,21,204,276,1590,6.802631579,3.407894737,1.328947368,0.276315789,3.631578947,35.60526316,0.473876063,13.1,0.51,18.2,-0.5,-0.4,0.8,3738494
11038,PG,22,170,12,34,0.353,0,0,NA,12,34,0.353,4,6,0.667,2,8,10,15,3,0,9,27,28,0.681818182,0.454545455,0.136363636,0,1.227272727,7.727272727,0.352941176,1.8,0.382,12.6,-7.8,-0.7,-0.3,3625753
11123,SG,69,1643,230,589,0.39,40,119,0.336,190,470,0.404,120,156,0.769,58,208,266,130,50,19,102,123,857,1.884057971,3.855072464,0.724637681,0.275362319,1.782608696,23.8115942,0.424448217,12.2,0.471,21.2,-1.1,-0.9,0,1710261
11138,PF,75,1795,205,447,0.459,0,3,0,205,444,0.462,140,183,0.765,189,284,473,51,33,24,74,197,559,0.68,6.306666667,0.44,0.32,2.626666667,23.93333333,0.458612975,13.7,0.521,15.8,-1.1,-0.9,0,627547
11171,C,46,473,51,95,0.537,0,0,NA,51,95,0.537,67,96,0.698,49,97,146,13,8,8,27,74,169,0.282608696,3.173913043,0.173913043,0.173913043,1.608695652,10.2826087,0.536842105,15.9,0.616,16.3,-1,-0.5,0.1,830535
11210,PF,60,783,89,201,0.443,0,3,0,89,198,0.449,61,83,0.735,48,116,164,21,24,27,45,129,248,0.35,2.733333333,0.4,0.45,2.15,13.05,0.44278607,10.4,0.503,16.3,-3.7,-0.3,-0.4,1135064
11231,SG,61,2001,311,800,0.389,92,285,0.323,219,515,0.425,137,182,0.753,28,106,134,175,71,14,100,147,1430,2.868852459,2.196721311,1.163934426,0.229508197,2.409836066,32.80327869,0.44625,12.6,0.483,22.4,-0.8,-0.7,0.2,6772634
11268,PG,72,2115,290,713,0.407,120,364,0.33,170,349,0.487,82,98,0.837,25,122,147,492,92,5,136,97,1514,6.833333333,2.041666667,1.277777778,0.069444444,1.347222222,29.375,0.49088359,16.9,0.517,19,3.3,-0.8,2.3,10582241
11308,C,81,2317,314,668,0.47,2,13,0.154,312,655,0.476,170,260,0.654,136,327,463,432,57,77,173,222,833,5.333333333,5.716049383,0.703703704,0.950617284,2.740740741,28.60493827,0.471556886,16.3,0.511,18.6,1.1,0.9,2.4,20611231
11316,C,34,843,107,259,0.413,8,36,0.222,99,223,0.444,49,65,0.754,45,147,192,46,23,26,57,79,355,1.352941176,5.647058824,0.676470588,0.764705882,2.323529412,24.79411765,0.428571429,11.6,0.471,19.2,-2.5,0.4,0,6841045
11336,PF,3,12,3,3,1,0,0,NA,3,3,1,1,2,0.5,2,0,2,0,0,0,1,3,7,0,0.666666667,0,0,1,4,1,23.1,0.902,19.3,2,-2.5,0,451527
11350,SF,6,37,5,14,0.357,1,2,0.5,4,12,0.333,2,2,1,0,4,4,0,0,0,2,7,16,0,0.666666667,0,0,1.166666667,6.166666667,0.392857143,1.8,0.437,20.9,-8.7,-1.2,-0.1,1032631
11351,PG,81,3254,598,1386,0.431,87,274,0.318,511,1112,0.46,356,436,0.817,58,205,263,719,129,9,249,172,2200,8.87654321,3.24691358,1.592592593,0.111111111,2.12345679,40.17283951,0.462842713,20.4,0.519,25.8,4.1,-0.9,4.3,23088527
11367,C,16,114,17,46,0.37,4,14,0.286,13,32,0.406,9,10,0.9,4,14,18,2,3,5,6,13,77,0.125,1.125,0.1875,0.3125,0.8125,7.125,0.413043478,11.5,0.466,23.2,-3.3,-0.8,-0.1,4482497
11390,SF,51,1024,157,326,0.482,1,5,0.2,156,321,0.486,28,43,0.651,27,77,104,58,33,10,45,57,355,1.137254902,2.039215686,0.647058824,0.196078431,1.117647059,20.07843137,0.483128834,11,0.497,17,-2.2,-0.3,-0.1,10610461
11413,SF,37,368,61,145,0.421,5,13,0.385,56,132,0.424,31,40,0.775,12,47,59,14,5,8,24,38,182,0.378378378,1.594594595,0.135135135,0.216216216,1.027027027,9.945945946,0.437931034,11.6,0.486,23.9,-1.8,-0.8,-0.1,1391603
11445,C,1,4,1,2,0.5,0,0,NA,1,2,0.5,0,0,NA,1,1,2,0,0,0,0,1,2,0,2,0,0,1,4,0.5,21.7,0.5,23.1,5.7,-5.7,0,1282695
11452,PG,3,17,2,4,0.5,0,0,NA,2,4,0.5,2,4,0.5,0,1,1,2,0,0,7,1,6,0.666666667,0.333333333,0,0,0.333333333,5.666666667,0.5,-9.2,0.521,34.3,-13,-8.6,-0.1,1282695
11461,C,10,130,11,23,0.478,0,0,NA,11,23,0.478,7,12,0.583,23,29,52,7,2,4,6,16,29,0.7,5.2,0.2,0.4,1.6,13,0.47826087,15,0.513,11.8,-1.1,-0.9,0,964038
11462,C,80,1611,246,472,0.521,0,0,NA,246,472,0.521,100,169,0.592,178,296,474,36,55,52,96,195,592,0.45,5.925,0.6875,0.65,2.4375,20.1375,0.521186441,16.1,0.542,18.3,-0.5,-0.9,0.3,8551306
11487,PG,78,2758,392,996,0.394,130,335,0.388,262,661,0.396,404,460,0.878,35,241,276,446,84,8,189,177,1933,5.717948718,3.538461538,1.076923077,0.102564103,2.269230769,35.35897436,0.458835341,18.6,0.55,23.5,3.1,0.5,3.9,8552332
11522,PF,77,1528,268,571,0.469,1,4,0.25,267,567,0.471,190,262,0.725,141,237,378,38,56,118,88,188,736,0.493506494,4.909090909,0.727272727,1.532467532,2.441558442,19.84415584,0.470227671,19.2,0.53,22.8,-0.2,0.7,1,7854234
11539,SF,73,1787,183,454,0.403,67,187,0.358,116,267,0.434,65,103,0.631,106,211,317,98,46,10,75,128,858,1.342465753,4.342465753,0.630136986,0.136986301,1.753424658,24.47945205,0.476872247,11,0.499,14.5,-0.5,-2,-0.2,627547
11561,PG,73,1598,167,411,0.406,41,122,0.336,126,289,0.436,75,94,0.798,28,102,130,202,64,8,75,138,693,2.767123288,1.780821918,0.876712329,0.109589041,1.890410959,21.89041096,0.45620438,11.6,0.497,15.6,-1.6,1.2,0.6,1391603
11572,PF,35,782,67,158,0.424,0,1,0,67,157,0.427,79,118,0.669,82,188,270,23,17,43,38,87,216,0.657142857,7.714285714,0.485714286,1.228571429,2.485714286,22.34285714,0.424050633,14.2,0.507,14.2,-2.1,0.3,0,6506449
11597,PG,13,160,13,35,0.371,5,14,0.357,8,21,0.381,1,6,0.167,2,9,11,17,7,0,10,9,59,1.307692308,0.846153846,0.538461538,0,0.692307692,12.30769231,0.442857143,6.6,0.425,14.1,-3.3,1.8,0,1092307
11605,SF,80,2444,376,871,0.432,19,71,0.268,357,800,0.446,138,204,0.676,79,219,298,158,52,17,120,140,1065,1.975,3.725,0.65,0.2125,1.75,30.55,0.442594719,11.6,0.473,20.4,-1.3,-1.7,-0.6,2763931
11620,PF,77,1900,203,523,0.388,137,366,0.374,66,157,0.42,62,82,0.756,28,211,239,124,72,22,91,179,1292,1.61038961,3.103896104,0.935064935,0.285714286,2.324675325,24.67532468,0.519120459,10.9,0.541,15.6,-0.4,0,0.7,2052313
11640,PG,53,660,71,159,0.447,2,9,0.222,69,150,0.46,33,43,0.767,10,69,79,81,28,5,29,59,198,1.528301887,1.490566038,0.528301887,0.094339623,1.113207547,12.45283019,0.452830189,12.3,0.497,14.5,-2.8,3,0.4,1092307
11648,SG,1,11,2,3,0.667,0,0,NA,2,3,0.667,2,2,1,0,0,0,0,0,0,0,2,6,0,0,0,0,2,11,0.666666667,17.8,0.773,16,-1.7,-4.7,0,1282695
11708,PG,11,85,7,22,0.318,2,8,0.25,5,14,0.357,1,1,1,1,6,7,11,5,0,3,5,35,1,0.636363636,0.454545455,0,0.454545455,7.727272727,0.363636364,8.8,0.379,14.1,-3.6,2.1,0,1282695
11724,PG,82,3118,408,1018,0.401,156,427,0.365,252,591,0.426,127,145,0.876,52,256,308,500,99,9,180,173,1912,6.097560976,3.756097561,1.207317073,0.109756098,2.109756098,38.02439024,0.47740668,14.8,0.508,19.2,1.1,-0.9,1.7,21164483
11735,PG,58,1760,185,477,0.388,51,150,0.34,134,327,0.41,74,101,0.733,44,131,175,281,93,20,115,132,792,4.844827586,3.017241379,1.603448276,0.344827586,2.275862069,30.34482759,0.44129979,12.6,0.475,16,-0.6,0,0.6,3292252
11781,C,78,2153,208,437,0.476,0,1,0,208,436,0.477,113,195,0.579,221,357,578,123,30,139,99,228,532,1.576923077,7.41025641,0.384615385,1.782051282,2.923076923,27.6025641,0.47597254,14.3,0.506,13.4,-0.5,0.9,1.4,14822263
11801,C,73,1478,170,384,0.443,2,9,0.222,168,375,0.448,66,89,0.742,118,241,359,58,26,67,63,159,429,0.794520548,4.917808219,0.356164384,0.917808219,2.178082192,20.24657534,0.4453125,11.9,0.482,14.8,-2.2,-0.1,-0.1,7525149
11807,PF,42,1373,193,400,0.483,0,1,0,193,399,0.484,168,225,0.747,61,306,367,163,50,20,103,116,557,3.880952381,8.738095238,1.19047619,0.476190476,2.761904762,32.69047619,0.4825,17.8,0.555,19.7,1.1,1.7,1.7,2565391
11811,SF,58,720,72,162,0.444,2,4,0.5,70,158,0.443,30,46,0.652,67,89,156,25,35,19,29,90,182,0.431034483,2.689655172,0.603448276,0.327586207,1.551724138,12.4137931,0.450617284,,,,,,,5863753
11821,SF,65,1770,270,616,0.438,80,215,0.372,190,401,0.474,102,141,0.723,42,174,216,232,59,14,107,162,1127,3.569230769,3.323076923,0.907692308,0.215384615,2.492307692,27.23076923,0.503246753,14.9,0.532,20,0.8,-0.2,1.1,5781464
11827,PF,77,1051,119,307,0.388,56,144,0.389,63,163,0.387,93,104,0.894,60,183,243,52,24,14,55,101,651,0.675324675,3.155844156,0.311688312,0.181818182,1.311688312,13.64935065,0.478827362,14.4,0.549,18.3,0.7,0.4,0.8,13015088
11834,PF,49,570,81,197,0.411,6,32,0.188,75,165,0.455,35,53,0.66,26,73,99,40,10,13,54,75,281,0.816326531,2.020408163,0.204081633,0.265306122,1.530612245,11.63265306,0.426395939,,,,,,,2088639
11858,C,74,2403,348,650,0.535,0,2,0,348,648,0.537,217,332,0.654,344,543,887,60,33,137,131,227,919,0.810810811,11.98648649,0.445945946,1.851351351,3.067567568,32.47297297,0.535384615,20.1,0.573,17.8,1.3,-0.3,1.8,13411869
11885,PG,42,577,34,100,0.34,7,41,0.171,27,59,0.458,28,39,0.718,10,60,70,119,17,1,53,41,205,2.833333333,1.666666667,0.404761905,0.023809524,0.976190476,13.73809524,0.375,8.9,0.44,14.1,-3.2,-0.3,-0.2,2565391
11917,C,9,26,1,5,0.2,0,0,NA,1,5,0.2,2,2,1,0,1,1,1,0,1,0,2,4,0.111111111,0.111111111,0,0.111111111,0.222222222,2.888888889,0.2,3.4,0.34,10.7,-4.4,-1.4,0,1135064
11941,PG,70,1500,210,470,0.447,83,210,0.395,127,260,0.488,47,61,0.77,23,100,123,165,93,7,120,184,931,2.357142857,1.757142857,1.328571429,0.1,2.628571429,21.42857143,0.535106383,12.7,0.553,18.6,-1.3,0.5,0.5,1384080
11947,SG,57,1101,120,297,0.404,51,138,0.37,69,159,0.434,60,71,0.845,25,98,123,147,57,8,53,66,612,2.578947368,2.157894737,1,0.140350877,1.157894737,19.31578947,0.48989899,14.6,0.535,15.2,0.8,1.2,1.1,5130783
11975,SF,6,26,2,9,0.222,1,4,0.25,1,5,0.2,2,2,1,0,2,2,0,1,0,0,1,16,0,0.333333333,0.166666667,0,0.166666667,4.333333333,0.277777778,4.9,0.354,17.9,-3.4,-0.5,0,627547
11982,C,2,12,0,0,NA,0,0,NA,0,0,NA,0,0,NA,1,1,2,1,1,0,4,2,0,0.5,1,0.5,0,1,6,#DIV/0!,-9.2,,14.8,-17.7,1.7,0,1829979
12028,SF,41,734,72,203,0.355,7,33,0.212,65,170,0.382,22,37,0.595,59,124,183,27,37,32,37,90,251,0.658536585,4.463414634,0.902439024,0.780487805,2.195121951,17.90243902,0.371921182,9.6,0.394,15.6,-4.4,1.1,-0.2,627547
12073,C,20,290,17,59,0.288,1,12,0.083,16,47,0.34,7,16,0.438,15,30,45,12,7,1,14,28,75,0.6,2.25,0.35,0.05,1.4,14.5,0.296610169,2.6,0.318,12.5,-6.1,-1.7,-0.4,76530
12090,SG,82,2020,329,805,0.409,62,166,0.373,267,639,0.418,195,248,0.786,60,181,241,107,63,13,111,262,1227,1.304878049,2.93902439,0.768292683,0.158536585,3.195121951,24.63414634,0.447204969,12.7,0.5,23.6,-1.2,-0.8,0,1177821
12119,PG,71,1252,160,390,0.41,84,206,0.408,76,184,0.413,20,27,0.741,12,132,144,215,64,11,96,107,790,3.028169014,2.028169014,0.901408451,0.154929577,1.507042254,17.63380282,0.517948718,14.5,0.528,18.4,0.8,1.5,1.4,10312875
12123,SG,77,1603,161,416,0.387,50,147,0.34,111,269,0.413,71,92,0.772,38,158,196,134,62,16,77,122,734,1.74025974,2.545454545,0.805194805,0.207792208,1.584415584,20.81818182,0.447115385,10.6,0.485,15.6,-1.7,0.9,0.5,1479923
12141,C,66,965,55,103,0.534,0,1,0,55,102,0.539,17,28,0.607,61,171,232,24,27,43,30,156,130,0.363636364,3.515151515,0.409090909,0.651515152,2.363636364,14.62121212,0.533980583,8.5,0.551,7.1,-3.7,2.4,0.2,7556201
